OID_,PerSqFeet,Area,lat,lon,Building,NAME_ENG,NAME_CHT,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND,
1,13259,905,22.277040000000000,114.192970000000003,大坑道16-18號,NO SPECIFIC NAME,沒有名稱,1/1/1955 0:00,0,2578.000000000000000,107.299999999999997,2685.300000000000182,5,70,90450,1.500000000000000,1,0,0,1,0,837931,815361,灣仔區,Wan Chai,*,
2,7842,686,22.339630000000000,114.155270000000002,和興大廈,WO HING BUILDING,和興大廈,6/1/1957 0:00,0,5632.500000000000000,643.100000000000023,6275.600000000000364,8,67,20000,0.5,0,2,0,1,0,834044,822285,深水埗區,Sham Shui Po,***,
3,7643,942,22.290189999999999,114.196849999999998,美都大廈,MIDO APARTMENTS,美都大廈,7/1/1958 0:00,0,5360.100000000000364,918.600000000000023,6278.699999999999818,16,66,26780,0.4,1,1,0,1,0,838326,816811,東區,Eastern,**,
4,12858,801,22.277830000000002,114.184320000000000,蟾宮大廈,EMPIRE COURT,蟾宮大廈,,0,7617.100000000000364,1890.000000000000000,9507.100000000000364,17,0,50000,0.3,1,0,0,1,0,837033,815447,灣仔區,Wan Chai,*,
5,10852,645,22.289570000000001,114.209080000000000,麗都大廈,LIDO APARTMENTS,麗都大廈,5/1/1958 0:00,0,12936.500000000000000,542.899999999999977,13479.399999999999636,17,66,26990,0.2,1,1,0,1,0,839609,816746,東區,Eastern,**,
6,10009,1049,22.290189999999999,114.196849999999998,美都大廈,MIDO APARTMENTS,美都大廈,7/1/1958 0:00,0,5360.100000000000364,918.600000000000023,6278.699999999999818,16,66,26780,0.4,1,1,0,1,0,838326,816811,東區,Eastern,**,
7,8695,759,22.329170000000001,114.166830000000004,華僑大廈 B座,WAH KIU MANSION,華僑大廈,7/1/1958 0:00,0,8183.800000000000182,746.500000000000000,8930.299999999999272,12,66,27740,0.4,1,1,0,1,0,835232,821128,深水埗區,Sham Shui Po,**,
8,13605,735,22.285399999999999,114.190960000000004,歌頓大廈,GORDON HOUSE,歌頓大廈,6/1/1958 0:00,0,7192.500000000000000,322.800000000000011,7515.300000000000182,16,66,19250,0.3,1,0,0,1,0,837720,816268,東區,Eastern,*,
9,12898,721,22.279869999999999,114.151030000000006,威勝大廈,WISE MANSION,威勝大廈,10/1/1958 0:00,0,11044.000000000000000,506.000000000000000,11550.000000000000000,14,66,53000,0.8,1,0,0,1,0,833593,815646,中西區,Central and Western,*,
10,9615,884,22.321629999999999,114.179220000000001,翠華大廈 1座,MANDARIN COURT BLOCK 1,翠華大廈第１座,12/1/1958 0:00,0,5790.500000000000000,0,5790.500000000000000,12,66,87000,1.000000000000000,1,0,0,1,0,836510,820291,九龍城區,Kowloon City,*,
11,14003,607,22.277429999999999,114.183290000000000,星華大廈,STARLIGHT HOUSE,星華大廈,12/1/1958 0:00,0,4025.699999999999818,293.500000000000000,4319.199999999999818,12,66,50000,0.3,1,0,0,1,0,836924,815401,灣仔區,Wan Chai,*,
12,12893,698,22.325099999999999,114.178049999999999,美滿大廈,MAY MOON HOUSE,美滿大廈,6/1/1959 0:00,0,2857.300000000000182,110.000000000000000,2967.300000000000182,13,65,84160,1.000000000000000,1,0,0,1,0,836386,820675,九龍城區,Kowloon City,*,
13,10256,780,22.316109999999998,114.223269999999999,康寧大廈,HONG NING BUILDING,康寧大廈,7/1/1963 0:00,0,8823.899999999999636,1293.000000000000000,10116.899999999999636,11,61,17100,0.6,0,2,1,0,0,841048,819678,觀塘區,Kwun Tong,***,
14,15447,492,22.277580000000000,114.186530000000005,加路連大樓,Caroline Hill Court,加路連大樓,7/1/1959 0:00,0,8718.100000000000364,646.100000000000023,9364.200000000000728,13,65,19000,0.4,1,0,0,1,0,837256,815410,灣仔區,Wan Chai,*,
15,8888,1044,22.297339999999998,114.172610000000006,美麗都大廈 D座,MIRADOR MANSION,美麗都大廈,7/1/1959 0:00,0,37625.000000000000000,18480.000000000000000,56105.000000000000000,18,65,19500,0.05,1,2,0,1,0,835826,817623,油尖旺區,Yau Tsim Mong,***,
16,7194,1390,22.305759999999999,114.169110000000003,統一大廈 A座,UNITED MANSION BLOCK A,統一大廈Ａ座,11/1/1958 0:00,0,7465.000000000000000,1543.000000000000000,9008.000000000000000,16,66,16640,0.2,1,2,1,1,0,835474,818532,油尖旺區,Yau Tsim Mong,***,
17,11090,541,22.277390000000000,114.186769999999996,禮加大樓,Lei Kwa Court,禮加大樓,7/1/1959 0:00,0,3988.500000000000000,297.600000000000023,4286.100000000000364,13,65,19000,0.4,1,0,0,1,0,837288,815390,灣仔區,Wan Chai,*,
18,11013,572,22.277580000000000,114.186530000000005,加路連大樓,Caroline Hill Court,加路連大樓,7/1/1959 0:00,0,8718.100000000000364,646.100000000000023,9364.200000000000728,13,65,19000,0.4,1,0,0,1,0,837256,815410,灣仔區,Wan Chai,*,
19,11351,703,22.281820000000000,114.184759999999997,華納大廈,VIENNA MANSION,華納大廈,11/1/1958 0:00,0,5523.000000000000000,753.000000000000000,6276.000000000000000,12,66,42250,0.2,1,0,0,1,0,837094,815889,灣仔區,Wan Chai,*,
20,10224,978,22.283329999999999,114.191900000000004,金殿大廈,GOLDEN COURT,金殿大廈,11/1/1958 0:00,0,9535.000000000000000,2377.000000000000000,11912.000000000000000,12,66,35350,0.05,1,0,0,1,0,837816,816026,東區,Eastern,*,
21,9280,625,22.280339999999999,114.223969999999994,禮林大廈,LAI LAM BUILDING,禮林大廈,2/1/1959 0:00,0,2598.800000000000182,218.000000000000000,2816.800000000000182,11,66,25000,0.2,1,0,0,1,0,841123,815728,東區,Eastern,*,
22,10000,598,22.317380000000000,114.170569999999998,榮華大樓,WING WAH BUILDING,榮華大樓,5/1/1959 0:00,0,5020.000000000000000,4135.000000000000000,9155.000000000000000,12,65,19640,0.2,1,1,1,1,0,835615,819817,油尖旺區,Yau Tsim Mong,**,
