OBJECTID,Join_Count,TARGET_FID,url,building,PerSqFeet,lat,lon,NAME_ENG,NAME_CHT,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND,Shape_Leng
1,1,1,https://hk.centanet.com/findproperty/centadata-details/%E6%96%B0%E5%A1%AB%E5%9C%B0%E8%A1%97608%E8%99%9F_2-MMZSZHIAHT,新填地街608號,1395,22.32298,114.16695,NO SPECIFIC NAME,沒有名稱,0,820.8,120,940.8,10,61,17490,0.2,0,0,0,0,0,0,0,油尖旺區,Yau Tsim Mong, ,40.72176656
2,1,2,https://hk.centanet.com/findproperty/centadata-details/%E4%BF%9D%E5%85%B6%E5%88%A9%E5%A4%A7%E5%BB%88_2-EKYAPPEAPA,保其利大廈,1855,22.30848,114.18335,BULKELEY BUILDING,保其利大廈,0,2496,284,2780,10,64,20800,0.05,1,1,1,0,0,836931,818837,九龍城區,Kowloon City,**,78.24874738
3,1,3,https://hk.centanet.com/findproperty/centadata-details/%E5%BB%A3%E6%9D%B1%E9%81%93907%E8%99%9F_2-EEBEPPSEPW,廣東道907號,1927,22.31517,114.16784,NO SPECIFIC NAME,沒有名稱,0,2395,415.7,2810.7,7,67,16990,0.4,0,0,1,0,0,0,0,油尖旺區,Yau Tsim Mong, ,39.71029825
4,1,4,https://hk.centanet.com/findproperty/centadata-details/%E7%8D%85%E5%AD%90%E7%9F%B3%E9%81%9389%E8%99%9F_2-UFQJQRSRRV,獅子石道89號,2367,22.33044,114.18807,NO SPECIFIC NAME,沒有名稱,0,710.9,151.6,862.5,6,72,24230,0.4,0,0,1,0,0,0,0,九龍城區,Kowloon City, ,51.35159152
5,1,5,https://hk.centanet.com/findproperty/centadata-details/%E7%82%AE%E4%BB%97%E8%A1%9720%E8%99%9F_2-EKGYGPGVPS,炮仗街20號,2571,22.31809,114.18836,NO SPECIFIC NAME,沒有名稱,0,1208,151,1359,9,61,19040,0.05,0,1,0,0,0,837449,819900,九龍城區,Kowloon City,**,44.89949231
6,1,6,https://hk.centanet.com/findproperty/centadata-details/%E9%BB%91%E5%B8%83%E8%A1%9795%E8%99%9F_2-EEKYWPSYPD,黑布街95號,2611,22.31933,114.17216,NO SPECIFIC NAME,沒有名稱,0,1222,155,1377,9,65,18170,0.2,0,0,0,0,0,0,0,油尖旺區,Yau Tsim Mong, ,47.3796605
7,1,7,https://hk.centanet.com/findproperty/centadata-details/%E5%A4%A9%E8%88%88%E5%A4%A7%E5%BB%88_2-TTLLZHTAHM,天興大廈,2660,22.28785,114.13952,TIN HING BUILDING,天興大廈,0,5423.5,953,6376.5,13,58,22780,0.3,1,0,0,1,0,832421,816543,中西區,Central and Western,*,106.0395794
8,1,8,https://hk.centanet.com/findproperty/centadata-details/%E6%A1%82%E6%9E%97%E8%A1%9738E%E8%99%9F_2-MXLDTHZEHX,桂林街38E號,2760,22.3306,114.16166,NO SPECIFIC NAME,沒有名稱,0,1742.4,245.4,1987.8,8,67,14590,0.05,0,2,1,1,0,834701,821283,深水埗區,Sham Shui Po,***,32.98460162
9,1,9,https://hk.centanet.com/findproperty/centadata-details/%E5%90%B3%E6%9D%BE%E8%A1%9798%E8%99%9F_2-MMMDIHLSHN,吳松街98號,2936,22.30604,114.17045,NO SPECIFIC NAME,沒有名稱,0,1016.6,117,1133.6,10,61,18740,0.05,0,2,1,1,0,835606,818564,油尖旺區,Yau Tsim Mong,***,37.39211747
10,1,10,https://hk.centanet.com/findproperty/centadata-details/%E7%8E%89%E6%BB%BF%E6%A8%93_2-TDHLZHTAHM,玉滿樓,2977,22.27757,114.17496,JADE HOUSE,玉滿樓,0,3198,919.5,4117.5,16,57,19500,0.2,1,0,0,1,0,836069,815418,灣仔區,Wan Chai,*,67.51202428
11,1,11,https://hk.centanet.com/findproperty/centadata-details/%E5%8D%97%E6%98%8C%E9%96%A3_2-MXTTZHNVHX,南昌閣,3083,22.32945,114.16317,NAM CHEONG COURT,南昌閣,0,1818,139.1,1957.1,12,57,12460,0.05,1,0,1,1,0,834859,821155,深水埗區,Sham Shui Po,*,52.19528436
